Company_Key,Ticker,Company_Name,Sector,Industry,IPO_Date
TSLA,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,2010-06-29
GME,GME,GameStop Corp.,Consumer Cyclical,Specialty Retail,2002-02-13
